,acousticness,danceability,instrumentalness,valence,energy,target
Mask_Off***Future,0.0102,0.833,0.0219,0.286,0.434,1
Redbone***Childish_Gambino,0.199,0.743,0.00611,0.588,0.359,1
Xanny_Family***Future,0.0344,0.838,0.000234,0.173,0.412,1
Master_Of_None***Beach_House,0.604,0.494,0.51,0.23,0.338,1
Parallel_Lines***Junior_Boys,0.18,0.678,0.512,0.904,0.561,1
Sneakin’***Drake,0.00479,0.804,0.0,0.264,0.56,1
Childs_Play***Drake,0.0145,0.739,7.27e-06,0.308,0.472,1
Gyöngyhajú_lány***Omega,0.0202,0.266,0.664,0.393,0.348,1
I've_Seen_Footage***Death_Grips,0.0481,0.603,0.0,0.398,0.944,1
Digital_Animal***Honey_Claws,0.00208,0.836,0.0,0.386,0.603,1
Subways_-_In_Flagranti_Extended_Edit***The_Avalanches,0.0572,0.525,0.0143,0.524,0.855,1
Donme_Dolap_-_Baris_K_Edit***Modern_Folk_Üçlüsü,0.0915,0.753,0.00348,0.642,0.748,1
Cemalim***Erkin_Koray,0.253,0.603,0.0619,0.381,0.434,1
One_Night***Lil_Yachty,0.366,0.762,0.0,0.367,0.476,1
Oh_lala***PNL,0.44,0.662,0.0,0.351,0.603,1
Char***Crystal_Castles,0.019,0.637,0.0563,0.317,0.832,1
World_In_Motion***New_Order,0.0239,0.603,0.0451,0.773,0.955,1
One_Nation_Under_a_Groove***Funkadelic,0.233,0.789,0.00049,0.842,0.659,1
Bouncin***Chief_Keef,0.314,0.713,0.0,0.783,0.611,1
C_O_O_L_-_Radio_Edit***Le_Youth,0.0242,0.735,0.185,0.763,0.759,1
Percolator_(Jamie_Jones_Vault_Mix)_-_mixed***Cajmere,0.000702,0.854,0.308,0.471,0.719,1
House_of_Jealous_Lovers***The_Rapture,0.00024,0.747,0.369,0.77,0.74,1
Imma_Ride***Young_Thug,0.118,0.854,0.0,0.441,0.401,1
Girlfriend***Ty_Segall,0.000596,0.224,1.35e-06,0.364,0.925,1
If_I_Gave_You_My_Love***Myron_&_E,0.279,0.512,1.54e-05,0.401,0.564,1
This_Ready_Flesh***TR/ST,0.00219,0.781,0.269,0.795,0.795,1
Lose_My_Mind***A-Trak,0.341,0.411,1.42e-06,0.598,0.684,1
Char***Crystal_Castles,0.018,0.646,0.0403,0.32,0.837,1
Look_Alive***Rae_Sremmurd,0.0516,0.782,0.0,0.237,0.572,1
Please_Stop_Making_Fake_Versace***Father,0.282,0.735,0.125,0.326,0.4,1
Milly_Rock***2milly,0.00791,0.45,0.0,0.137,0.449,1
Blasé_(feat._Future_&_Rae_Sremmurd)***Ty_Dolla_$ign,0.0219,0.897,1.31e-06,0.27,0.642,1
Best_Friend***Young_Thug,0.0358,0.959,0.0,0.424,0.598,1
Hercules***Young_Thug,0.0324,0.742,0.0,0.429,0.559,1
Who_Be_Lovin_Me_(feat._ILOVEMAKONNEN)***Santigold,0.118,0.805,0.0,0.683,0.687,1
Check***Young_Thug,0.0428,0.667,0.0,0.372,0.581,1
Poppin'_My_Collar***Three_6_Mafia,0.297,0.722,0.0,0.855,0.823,1
Jumpman***Drake,0.0565,0.853,0.0,0.677,0.547,1
7/11***Beyoncé,0.0128,0.747,0.0,0.571,0.705,1
Somebody's_Watching_Me***Rockwell,0.135,0.777,5.5e-05,0.848,0.591,1
Bang_That***Disclosure,0.00041,0.731,0.625,0.622,0.852,1
I_Don't_Sell_Molly_No_More***ILoveMakonnen,0.00356,0.76,0.0,0.069,0.402,1
Versace_Python***Riff_Raff,0.00156,0.624,1.54e-06,0.318,0.792,1
Monster***Kanye_West,0.00243,0.621,0.00856,0.0891,0.683,1
OOOUUU***Young_M.A.,0.533,0.64,0.0,0.624,0.819,1
Return_Of_The_Mack_-_C_&_J_Street_Mix***Mark_Morrison,0.00631,0.715,0.0,0.607,0.833,1
Fantastic_Man***William_Onyeabor,0.00182,0.7,0.711,0.947,0.756,1
Right_Place_Wrong_Time***Dr._John,0.0923,0.789,0.000408,0.832,0.494,1
Azon_de_ma_gnin_kpevi***T._P._Orchestre_Poly-Rythmo,0.375,0.796,0.00457,0.973,0.86,1
Odofo_Nyi_Akyiri_Biara***Ebo_Taylor,0.183,0.716,0.058,0.93,0.957,1
Annie***Neon_Indian,0.0185,0.74,0.0624,0.852,0.846,1
The_Chase***Future_Islands,0.0638,0.7,0.112,0.745,0.84,1
Coming_Home***Leon_Bridges,0.456,0.514,0.000181,0.532,0.453,1
Wishes***Beach_House,0.128,0.313,0.0787,0.186,0.77,1
White_Iverson***Post_Malone,0.246,0.676,0.0,0.301,0.528,1
I_Know_There's_Gonna_Be_(Good_Times)***Jamie_xx,0.12,0.532,0.0,0.486,0.596,1
Loud_Places***Jamie_xx,0.00426,0.646,0.277,0.176,0.629,1
L$D***A$AP_Rocky,0.193,0.598,0.138,0.0359,0.252,1
Dopeman***Vince_Staples,0.0174,0.754,9.4e-05,0.599,0.442,1
California_Nights***Best_Coast,0.000392,0.294,0.865,0.136,0.786,1
Baby***Ariel_Pink's_Haunted_Graffiti,0.435,0.622,0.471,0.328,0.253,1
"Ain't_No_Love_In_The_Heart_Of_The_City_-_Single_Version***Bobby_""Blue""_Bland",0.257,0.559,0.000171,0.671,0.656,1
Fail_to_Cry***Yacht_Club,0.000145,0.54,0.753,0.87,0.945,1
Evil_Friends_(feat._Danny_Brown)_-_Jake_One_Remix***Portugal._The_Man,0.273,0.793,0.0,0.887,0.7,1
